,index1,context,Label,혐오 대상,혐오대상(세부),cluster10,cluster20,cluster30
988,10594,왜싸우냐 ㅇㅈ합니다 정치하는놈들 정치이념농간에 놀아나면 안됨,정상,,,8,3,19
991,3032,아니면 다 중국인,정상,,,0,8,15
992,19231,게시글 니친구 vs 내친구 니친구 애들,정상,,,5,14,11
997,6383,유승민은 서해수호의날 행사 매년 참석했던 것도 그럴고 이 건도 사람 좋네,정상,,,3,10,7
1000,1761,얘네는 멘탈 진짜 센 진보대학생들 일부가 있는듯패배 첫날인데 휴가도 없이 바로 일 시작이네,정상,,,5,16,28
1001,10550,루인베르크에서 아군은 야이백 이백 이치로 t30만 시가지 들어가고 적은 두엇 빼고 다 시가지 들어갔는데 이김 그나마 돼지인 4식 다 똥싼게 큰거같긴 판 맛탱이가 간 매칭때문에 한쪽만 돼지들이 몰려서 그대로 쓸려나간게 한 두판이 아닌데 워게이 놈들은 양 팀간의 밸런스도 생각 안하는 거 같음,정상,,,7,17,10
1005,8751,할매는 심하쟈나 아직 시집도 못 간 꽃처녀인데ㅠㅠ 근데 사실 할매도 별로 느낌 없음 ㅋㅋ 이제 인정 단계에 온 듯 노인정으로 떠납니다,정상,,,9,9,26
1012,14086,"여성 대통령이신 박 씨 때지만 2016년엔 인권위에서 여경채용 더 해라 라는거 청장이 반대 그리고 정권 바뀌고 청장 바뀌고는 노선이 완전 바뀜 18년을 기점으로 급격히 올라간 채용비율 출처 뽐뿌 라임나무님 여가부에서 만든 공공부문 여성대표성 제고 계획에 따라 경찰은 목표 달성했다고 기사가 날 정도가 됨 정치권과 지휘부가 자신들의 승진을 위해경찰이 아닌 특정 성을 뽑는데 집중한 결과 결국 이 사단이 나버림 올해 규정 바꿔서 23년부터 시행 예정인 체력은 더 낮아지고, 미달되도 붙여줄 예정임 참고로이미 경찰대학과 경찰간부 시험은 필기는 같이체력은 남녀기준 따로 보는 걸로 바껴서 곧 일반경찰도 남녀통합채용 시작 예정그리고 이건 법령으로 이미 지정되서 아무리 인터넷에서 떠들어봐야 안바뀔 듯 하고, 이 모든 사단이 언론과 정치권에서 젠더이슈로 덮어버리고 지나갈 가능성이 매우 커서 답답하고 가슴이 아픔 경찰은 젠더 논쟁 대상이 아닌 국민안전의 대상 관점에서 봐야하는데 그럴 생각이 없음",정상,,,6,12,13
1013,10744,올리브칸 차유니 천지니벤치,정상,,,7,5,2
1015,3183,광묵이 아뇨 그냥 나 동성애자야 한마디임별로 중요한것도아니고 굳이 할필요도 없는얘기였는데굳 이 함,정상,,,9,19,16
1016,14534,나라를 지켜준 댓가로 평생 나라에서 전역자들의 의료를 도와주는거죠 명분이 이게 정말 딱 좋을거같습니다 전역자에게 평생 건강보험료 면제혜택 참 좋을거 같은데 장애인을 제외한 미필자에게 두배씩걷으면 딱좋을거같네요,정상,,,2,7,19
1017,8596,쥐를잡자쥐를잡자찍찍찍,정상,,,3,18,1
1020,4881,김윤은 진짜 노답노답 n전에 뉴공에서 좀비대깨문새끼들이 라는 표현 썼는데 n말하는 거 보면 저급하기 그지 없어요,맥락적 정상,['정치'],['진보계열'],9,9,6
1022,13024,문상객을 극진히 대접하나 봅니다,정상,,,2,18,7
1023,11934,너두해봐,정상,,,3,18,23
1024,3555,1 템세팅 지배6셋 원예화저각 치1000 신1000 처음 출발했습니다 1넴2넴은 위의 세팅으로 깼는데 3넴부터 이속이 딸려서 기믹해제 능력이 현저하게 낮아졌습니다 제일 문제인게 아이언메이든에 갇힐때와 마리오에 들어갔을때 지배셋 효과가 사라집니다 진짜 빡칩니다 원래 가던 극신속 트리로 다시 돌아왔습니다 날개를 다 팔아먹어서 어쩔수 없이 매혹4 지배2 원저정돌화 치500 신1500 바꿨습니다 무력화 건너가는것과 쇼타임 기믹해제가 편해졌습니다 앞으로 한동안은 매혹6셋 극신속 트리를 계속 유지할것 같고 광기의 나팔 강화도 매혹으로 할것 같습니다 2 택틱 파티는 딜찍이 안되는 파티라 4마리오 정공법으로 했습니다 제가 4마리오를 갔고 레버에서 항상 사고가 났습니다 대체로 빙고를 홀나 블래 2명만 갔습니다 다행히 정가7개 화수3개 아드3개 다 남아있었습니다 3빙고때 홀나가 공포 망치 가불기 콤보로 죽었고 가짜 무력화 패턴 3번 아드화수 + 마지막 무력화 패턴때 이난나 써서 깼습니다 3 블래스터의 역할에 제일 말하고 싶었던 부분이 여깁니다 3넴에서 제일 중요한것은 가만히 장판 똥 움직이는 화염 똥 처리하는 겁니다 블래스터가 똥처리 최곱니다 진짜 보스 딜할 타이밍도 놓쳐가며 똥처리를 해야하는게 아쉽긴 원거리+넓은 공격 범위를 가진 블래스터가 똥처리에 정말 최적화 되어있다고 생각합니다 4 마리오 버그에 대한 주저리 마리오 버그가 진짜 많습니다 점핑볼 위아래로 왔다갔다 하는거로 보시면 안되고 바닥에 팡팡 터지는거로 보셔야됩니다 가끔 보면 점프할때와 g키 눌러서 올라가거나 내려갈때 이유없이 낙사할때가 있습니다 3 4마리오 좌우 무빙을 진짜 하셔야 되는데 여기서 문제가 생긴다고 생각합니다 좌우 무빙치실때 보면 마리오 머리가 앞 뒤를 보는 판정이 생깁니다 점프를 하거나 g키를 누르면 높은 확률로 버그성 사망을 당하게 됩니다 점프 g키를 누르기 전에 왼쪽 오른쪽으로 머리를 확실히 돌려놓고 하셔야합니다 뇌피셜이긴 저렇게 하기 전에는 자주 죽던게 의식하면서 조심하니까 안죽었습니다,정상,,,7,17,10
1028,17920,모르게쪙 08학번임 ㅋ,정상,,,3,18,23
1030,9898,여성징병도 같이 ㅎㅎ,정상,,,6,12,13
1036,25503,상대는 너 좋아해서 그런 건 대 잘 거 자두고 헤어지자니깐 억울한가 보지 마음 없으면 첨부터 안만나는게 맞아 암튼 알아서 해결하길,정상,,,9,9,3
1037,2177,정작 중국에선 상영불가,정상,,,0,8,15
1038,7503,남자들은 패션 자기관리 관심도가 요즘 시대와서 확 올라왔지만 여자들은 옛날부터 원래 옷좋아했으니까,정상,,,6,12,13
1039,16428,한글로는 경상도사투리로 써야되고 일어로는 칸사이벤으로 써야되니까 만화 그릴때마다 머리 싸맨다 대사 하나하나 구글링,정상,,,7,0,10
1048,2114,한남더힐도 저렇게는 안함ㅋㅋ,정상,,,9,9,14
1050,17595,선관위가 미필야당 짤에 제재 권고 를 했었군요 그래서 삭제하고 다시 만든거군요 선관위가 나설 정도의 짤을 만든 사람을쉴드치는 이낙연과 그 지자자들은 도대체 뭔 생각입니까 진보 유투버들이 인터뷰 함 하자고 그렇게 연락을 해도절대 안 받아준다는데 왠만하면 좀 받아주시죠 이재명은 유투브 인터뷰 안 가리고 다 하는데 사면도 그렇고 박정희 전두환 비판 해명도 좀 해주세요 그렇게 적극적으로 해명을 해주셔야 믿든 말든 할거 아닙니까 뭐 지지율 좀 올랐다고 벌써 자신감 충만에 목 뻣뻣해져 튕구는건 아니겠죠,정상,,,8,2,17
1051,19454,우리나라가 만약 70년대였으면 저런짓 했을거 같음 ㅋㅋ,정상,,,9,16,28
1052,8373,안사요 무시하면 되던데,정상,,,9,9,7
1053,19589,음 그런가요,정상,,,3,18,23
1057,14909,댓글수적고 추천수 어쩡쩡하고 항상 화난거같아 0 0,정상,,,3,2,5
1058,2210,아침에 조깅나왔다가 들렀는데 일찍들 나오셨네요 중국인들도 많네요,정상,,,0,8,15
1060,28635,0 1MB AP 통신 외신 거주하는 12층 건물 폭격으로 무너짐 난민촌도 폭격해서 어린이 8명 여성 2명 사망 이스라엘은 하마스 활동 건물이라 폭격했다고 주장하는 중 총리는 이제 시작일 뿐이다 우리는 그들이 상상하지 못할 수단으로 공격을 이어갈 것이다,정상,,,7,7,19
1066,12690,혓바닥이 길군요,정상,,,2,10,0
1072,18091,@크루쿠룽 혹시?,정상,,,3,5,2
1074,23821,할말이없네,정상,,,9,9,4
1080,11223,장애인 성폭행이 징역 1년6개월 거기다가 재판받다가 치매환자 한명을 때려 숨지게한 혐의가 밝혀졌는데 그거까지 합쳐서 징역 7년 성폭행에다가 살인까지했는데 징역 7년 암튼 7년동안 깜빵에서 지내다가 나오자마자 바로 신고한사람 보복살인 허허 황당하네요 정말,정상,,,5,7,8
1081,12196,으잉,정상,,,3,18,25
1083,10171,ㅇㅇ 병원갔다가 교수님만나고 혜화역에서 기다리는중,정상,,,2,10,7
1084,4882,랄,정상,,,3,18,25
1085,22078,후딱 팔아서 휴가비에 보태려다 짜증 대박입니다 젠장,정상,,,2,10,0
1086,14202,불과 십몇년전까지만해도 술집 테이블에서 여자애가 담배물고있으면 아져씨들이 혀차면서 지나갔음 여자애들 담배태우는것도 숨어서 몰래 몰래 태우고 길거리에서 아저씨나 노인하고 시비붙으면 지나가는 사람들이 저 싸가지하고는 애비도없냐 이렇게 툭 툭 던지고 면박줬음 헨드폰만 급속도로 변한게 아니라 삶의모습도 엄청 빠르게 변했다 집 문잠겨있으면 옆집 아주머니가 들어와서 기다리라고 하고 과자나 오렌지주스 주시곤 했는데,정상,,,5,14,26
1087,3659,"국가인권위원회가 국민의힘 소속 강충룡 제주도의원의 동성애가 싫다 는 발언은 성소수자에 대한 혐오표현이라고 판단했다 인권위는 제주특별자치도의회 의장에게 향후 소속 도의원이 성소수자에 대한 혐오표현을 하지 않도록 주의를 촉구하고 재발방지 대책을 마련하는 것이 필요하다는 의견을 표명했다 고 6일 밝혔다 앞서 강 의원은 지난해 12월 30일 제주도의회 본회의장에서 진행된 제주학생인권조례에 대한 찬반 토론 당시 차별 금지사유에 성적지향 을 포함하는 것과 관련해 저는 동성애 동성애자 싫어한다 며 자식들에게 동성애가 괜찮다, 정상적이다, 문제가 없다는 것을 계속 학습하고 이해시키는 것에 납득할 수가 없다 이것은 동성애를 권장하는 것이기 때문이다 고 발언했다 인권위 강충룡 의원 동성애 싫다 발언은 혐오표현 국가인권위원회가 국민의힘 소속 강충룡 제주도의원의 동성애가 싫다 는 발언은 성소수자에 대한 혐오표현이라고 판단했다 인권위는 제주특별자치도의회 의장에게 향후 소속 도의원이 성소수자에 대한 혐오표현을 하지 않도록",정상,,,8,3,9
1088,26473,으흐흑 피카츄돈까스랑 떡꼬치 내 소울푸드,정상,,,7,5,2
1090,17013,진짜 쓰레기 사회생활 0,정상,,,2,16,25
1091,12647,관창끼 나쁘지 않군요,정상,,,9,0,14
1092,24519,근본이 페미니스트 정부였구나,정상,,,8,3,21
1094,8104,50대 엄대엄이면 그쪽 지지하는 진보 대학생들만 남은거지 ㅋㅋ,정상,,,6,16,28
1102,5856,큰 도련님 소식에 멘탈이 나갔나 유아퇴행까지 온듯 ㅋㅋ,정상,,,7,2,2
1103,28009,아 정수정도 작품이름 햇갈림,정상,,,3,18,1
1104,8408,"조선족들이 범죄율이 높다거나 흉악범죄나 각종 사기같은 범죄에 많이 엮여있다고 하더라도 어디든지 외국인들이 다량으로 유입되면 흔히 나타나는 현상입니다 일반적으로 외국인들이 다량으로 유입될만한 일이면 보통 이런저런 면에서 더 안좋은 상황의 국가에서 건너오는 경우가 많고, 건너오기 전이나 건너온 다음이나 사회 하부계층으로 시작하게 되는 경우가 많죠 횡령이나 탈세같은 부자형 범죄가 아닌 이상 이런 계층들이 더욱 쉽게 범죄를 일으키는건 뭐 당연한 일이고 예를 들면 뭐 미국에서 조직범죄하면 유명한 아일랜드계,시칠리아계 최근의 라티노계 일본으로 건너간 재일 한국인들도 민단계열에선 야쿠자나 뒷세계로 들어간 인물들이 많고 동구권 붕괴 이후에 레드 마피아들이 세력을 크게 불렸다거나 뭐 찾아보면 끝도 없죠 그리고 여기서 어느정도 정체성을 유지할만한 집단을 이루지 않을 정도로만 외국인을 받아들이거나, 다 쫒아내버리거나 하지 않으면 이런 다문화 사태 에 대한 대응이 필요하죠 이들이 성공적으로 기존 한국 사회에 정체성을 유지하던,안하던 편입된다면 뭐 자연스럽게 하부계층으로만 남지는 않을거고, 이들이 기존 사회에서의 배척이나 차별을 지속적으로 받는 상황이라면 오히려 더 하드코어하게 문제 불만집단으로 변하는거고 그렇죠 이런저런 언론이나 기관같은데서 제노포비아에 신경쓰는게 무슨 중국 입김 들어가서나 그런 문제가 아니죠 막말로 조선족들 다 쫒아낸다고 해도 그 다음 차례는 올거고, 이런 다문화 현상은 언젠가는 겪고 나가야 하는 거니까요 + 그건 그런데 조선족과 중국인들이 한국 뿐 아니라 기존 타국의 이민 사례들을 생각해보면 기존 사회에 동화되는게 매우 힘든 경향이 있는 것 같습니다",정상,,,0,8,19
1110,14193,동맹국 정부를 상대로 한 강탈은 맨 처음부터 잘못됐는데 트럼프 행정부의 이런 행동은 미국에 어떤 이득도 주지 못한다 트럼프는 다른 정부가 절대 동의하지 않을 터무니없는 요구를 했고 그 요구에 대해선 타협을 아예 거부 이 같은 강성 자세는 과거 이란이나 북한보다 한국의 경우엔 더욱 효과가 없다고 평가 이 방위비 협상 교착상태에 대해 터무니없는 점은 한국은 그들의 방위력 제공과 미군 주둔 비용 지원 측면에서 최고의 동맹국 중 하나란 점이라고 강조 미국에 무임승차하고 자체 방위비 지급에서 인색한 여러 동맹국들의 사례가 있지만 한국은 이에 속하지 않는다 꼬집음 주한미군 철수는 사실상 미국이 더 원하지 않음 법안까지 만들어 통과시킨건 미국,정상,,,8,3,19
1112,26394,성소수자 발언 가장합리적이고 현실적인 답변인데 동성애자 지지자 이세요 특정종교가 아니라 동성애 인터넷이아닌 현실에서는 절대다수가 싫어해요 지적 허영심 우습네요 다른 근거를 대세요 쓸데없이 동성애자 발언을 문제삼지말고,정상,,,8,19,16
1115,15620,중국의 싸이트에서 한국이 이런걸 먹냐면서 정신병자라면서 얘기한게 있데용 어쩌다가 우리나라가 중국에게서 정신병자라는 소리를 듣냐구용 개고기 먹냐구 ㅠㅠ 개들이 불쌍하자나 몸에좋다고 개들을 잡아먹으면 어케하냐구 ㅠㅠ 안그래도 밑에 싸이트가서 동영상을 봤는데 끔찍했어욤 흰색 강아지가 목이 졸리면서도 살려달라고 애원하는데 꿈쩍도 ㅠㅠ넘불쌍해용 ㅠㅠ,맥락적 정상,['기타'],['정신장애'],1,1,29
1118,1322,상황이 너무 다르니까 한국은 미국처럼 대통령 권한 그리 안쎈걸로 알음 그리고 말이 180석이지 주류언론이랑 기득권이 거의 다 적인 상황이니 실제 힘은 모자라지 않을까 생각함,정상,,,8,3,19
1119,25289,남자가 총리,정상,,,6,12,13
1120,4606,돌아가신 고인분들이신데 짱깨가 뭡니까 그리고 사고가 났으면 진상조사 해야 하는거죠,맥락적 정상,['인종'],['중국'],9,16,26
1121,26154,국민거품윤석열 그리고 노인분들이 제일 열광하는 워딩이 좌파 빨갱이 아님,맥락적 정상,['정치'],['진보계열'],7,16,6
1122,9025,장난아니고 4년내내 좌빨소리들으면서 대학교다녔는데,맥락적 정상,['정치'],['진보계열'],5,16,4
1123,8590,그건 좀,정상,,,3,18,23
1125,14783,얼마냐,정상,,,3,18,23
1127,6954,택시 기사 가족들 진짜 안됐다,정상,,,2,2,0
1130,22671,최근 인재 영입하고 있는데 포인트 하나가 여성 인재 모셔오자 는,정상,,,6,12,13
1135,14416,여기서 홍에서 윤전향자들이 그러면 경선때 홍 찍어줬는데 갑자기 생성된 신천지 신도냐 우리가 그 조직표는 그냥 권성동이 페이퍼 당원들 모아서 만든거고 정치 흐름이 바뀌면서 홍지지자들이 보수지지자가 되고 그래서 윤의 공약을 보고 뽑은건데 신천지 드립을 치네 ㄷㄷ,정상,,,8,3,9
1139,19693,미국도 이제는 유죄추정 원칙인가,정상,,,0,0,19
1140,10621,하이쿰 님 추천 게시물 정신나간 추돌 사고 ㄷ gif,정상,,,3,2,5
1141,8566,웃기네요 목사 떠 받들고 사는게 종교라고 생각하는건지,정상,,,4,4,27
1143,28333,I cried actually I cried Then I said out loud This is not why I became an actor Unfortunately the microphone was on and the whole studio heard울었어요 실제로 울었죠 그리고 이럴려고 배우가 된게 아닌데 라고 말했어요 그런데 마이크가 켜져 있어 스튜디오 전체에 울려퍼졌어요 2012년 호빗 뜻밖의 여정 찍을당시 이 분 기사작위 받고 동성애 커밍아웃하고 소수인권인동가임 SIR 임 ㅋㅋ,정상,,,5,2,26
1144,16415,내 경험담인데 내 자취방에도 자주 놀러오던 친한 동기가 나한테만 술먹고 커밍아웃한 적이 있는데 솔직히 날 상대로 이상한맘 품은적 없냐니까 한두번쯤은 있었댄다 편견은 안가지려지마는 그뒤로 좀 무서워,정상,,,5,14,26
1148,17348,인증 확실하네 ㅋㅋ,정상,,,3,0,5
1153,10161,영상 간단 요약 자기도 성 소수자면서 다른 성소수자를 비하했다,정상,,,6,19,16
1161,17889,진짜 왜저러고 살지?,정상,,,5,16,26
1162,26684,동남아가 갑입니다 제주도랑 동남아를 비교한다면 절대 제주도 갈 사람 없습니다 ㅎㅎ 저렴한것도 아니고 즐길거리가 많은것도 아니고 바가지 요금에 휴 저라면 동남아 갑니다,정상,,,2,10,0
1164,23993,경기 박살났네요 휴일 유동인구가 평소 휴일대비 3분의1도 안되는거 같아요 유독 스타벅스만 사람 바글바글하네요 젤 좋은건 노점상들 싹다 없어져서 도로가 굉장히 쾌적해졌다는거 중국인들 없으면 걍 명동은 경기 끝났다고 봐야할듯 올해안에는 힘들지않을까 싶네요,정상,,,0,8,15
1166,16012,왜 저리 오바하는지 모르겠네우승 1순위 팀은 절대 아니라고 보는데버럭신 쳐놀려대면서 먼 ㅋㅋ,정상,,,7,5,20
1167,26885,스트레이트 주진우 김의성 결방 관련 언론 보도 비판 폐지 원하는 듯,정상,,,8,19,17
1169,9970,안녕하세요 다름이아니오라 제가장애인은아니구요 제처남이 한쪽눈이 실명이된 장애인입니다 일자리를 눈때문에 문전박대를 많이당하여 제가일하고있는근처에 사람을 구하여 제가 소개시켜줬습니다 급여는작지만 일을할수있다는 것만으로도로 기뻣습니다 알바형식으로 입사했습니다 4대보험도 붓고있고요 나이는 31살입니다 3개월정도일하는데 갑자기 직원을한명채용했는데 나이가 27살이였습니다 술먹고 저하테 힘들다힘들다하길래 제가물어봤습니다 그사람은 주임으로 온거람니다 제처남은알바고요 즉슨 주임이 알바를부리는데 제처남이 나이가좀있어도 사회니 그럴수있다생각했죠 근데 반말을하면서 폐급이라고놀리고 극혐이라고놀리고 물품배달하는알바인데 본이이 해야할 A S도 처남하테넘기네요 그래서 처남이 이건제파트가아니라고하니깐 싫으면 그만두세요 이랬다네요 실상내용은 여기까지이고요 이걸해결할수있는방법이있는지 알고싶습니다,정상,,,5,14,26
1171,15641,<BEST> 그거 해결하라고있는게 정부에요 아 저런상황이니 어쩔수없네 ㅋㅋ ㅅㄱ 이러면 뭐하러 정부를세워둠? 그냥 동네 할아버지 세워두지,정상,,,8,14,11
1175,2140,길리먼이쓰는 황제의 검만봐도 악마들이 끼에엑 아나테마인데샥 자들은 조심하는데스 저거맞으면 영영골로가는데샤악 거리던대,정상,,,7,17,1
1179,28461,멍멍!,정상,,,3,18,23
1180,13864,크... ㄷㄷㄷ 흑산도 홍어 맛나는데,정상,,,1,15,18
1182,7330,급해서 그만... 용서해라,정상,,,3,11,22
1187,26598,교회클라스도대체 누구 머리에서 나온건지 ㅋㅋㅋ,정상,,,4,4,27
1188,14886,중국인들의 센스는 정말 乃,정상,,,0,8,15
1190,1644,이분 댓글 쓴것 보니까 최소 씹인싸 분위기 메이커,정상,,,7,2,5
1191,17552,염키동상화추진위 가성비구나 ㄱㅅ,정상,,,2,0,1
1193,1810,5천만명이면 한국 전체 인구수만큼이나 다운로드가 돌파하다니 ㄷㄷ 포켓몬 유나이트 전세계적으로 인기 많네,정상,,,7,16,22
1198,12799,답없어,정상,,,3,18,23
1201,15590,엑셀 버전 변화에도 적응할 수 있도록 도와주는 책인듯요 우리 모두는 정신병자다 는 제목만으로 너무 심도 있을 내용이네요 ㅎㅎ 즐독 하세요,정상,,,9,19,16
1203,8196,저 인절미빙수 ㄹㅇ 맛없던 저딴 빙수를 7000원보고 개 기겁 ㅋㅋ,정상,,,1,11,22
1206,13167,분단국가에 참 여자가 살기 좋네요핑계도 많고 참 ㅋㅋ남자는 얼마나 대우받고 가는지 알겠네예비군 민방위도 끌려가서 군역페이구만 참,정상,,,6,12,13
1207,9298,직접 해봤는데 한녀충은 필터링돼서 나오고 한남충은 걍 나오네 ㅁㅊ한녀충이라고 쓰면 상처받는다고 쓰지말래에라이 시발 여자만 우리의 이웃이냐,맥락적 정상,['젠더'],"['일반여성', '일반남성']",6,12,13
1213,27360,포츠머스 당신도 펨코밈 그대로 쓰면서 낮술에 음식 처먹는게 섹스라고 지껄이는 사람이 할 말은 아닌거 같은데,정상,,,1,1,29
1216,13371,워마드 WOMAD woman + nomad 메갈리아에서 성소수자 문제로 싸우다가 성소수자 반대파들이 따로 떨어져나가 만들어진 집단 성향이 매우 극단적임 사이트 공지사항부터가,정상,,,6,12,13
1218,16675,트위터를 하니깐 그런 일을 겪는거에요,정상,,,7,2,5
1220,15375,나주 철도 찾아보다가 찾았는데 나주 순천 기차길 이어서 최종적으로는 부산까지 이은다던데 멀미나는거 참으면서 억지로 버스타고 부산가는거 외에도 다른 수단이 생긴다니 너무 좋네 솔직히 경상도 전라도 잇는 기차길이 없는거도 좀 어이없긴했어 고속철도로 가려면 오송분기에서 환승해야만 갈수있는거도 웃겼고 아무튼 교통이 편해진다니 대환영,정상,,,2,10,0
1223,18452,그들은 동성애자 이전에 디시인 이였다,정상,,,6,19,16
1224,8295,야채삼계죽 1,정상,,,3,18,25
1227,20887,스태미나 라이츄 스태미나 유충 라이츄로 바꿔줘어어엉,정상,,,7,13,24
